Shape,Lon,Lat,Wb,Wr,Lb,Wt,Rbr,Rlb,Rbt
triangle,-66.46,45.06,14.909798478952164,1.4909798478952165,11.182348859214123,,9.999999999999998,0.75,
trapezoidal,-66.74,45.07,7.454899239476082,0.7454899239476083,11.182348859214123,7.454899239476082,9.999999999999998,1.5,1.0
trapezoidal,-67.27,44.63,14.909798478952164,0.7454899239476083,9.95166,11.182348859214123,19.999999999999996,0.6674577133989129,1.3333333333333333
triangle,-67.8,44.52,5.963919391580866,0.37274496197380413,13.26888,,16.0,2.2248590446630425,
trapezoidal,-67.8,44.52,8.945879087371297,0.37274496197380413,7.454899239476082,8.20038916342369,23.999999999999996,0.8333333333333334,1.0909090909090908
triangle,-70.64,41.99,13.26888,0.7454899239476083,11.182348859214123,,17.79887235730434,0.8427500180282076,
trapezoidal,-70.66,41.6,8.945879087371297,0.37274496197380413,7.454899239476082,8.20038916342369,23.999999999999996,0.8333333333333334,1.0909090909090908
triangle,-40.5,73.9,17.0,2.0,24.0,,8.5,1.411764705882353,
triangle,-41.0,72.0,28.0,3.0,158.0,,9.333333333333334,5.642857142857143,
trapezoidal,-71.01,42.31,9.95166,0.9951659999999999,14.909798478952164,6.63444,10.000000000000002,1.4982222542723689,1.5000000000000002
triangle,-71.38,41.73,11.182348859214123,0.7454899239476083,13.26888,,14.999999999999998,1.1865914904869561,
triangle,-72.81,41.26,5.963919391580866,0.7454899239476083,7.454899239476082,,8.0,1.2499999999999998,
triangle,-74.27,40.49,9.95166,0.9951659999999999,13.352389170832472,,10.000000000000002,1.3417248148381749,
trapezoidal,-75.09,38.62,13.26888,0.9951659999999999,13.352389170832472,13.26888,13.333333333333334,1.0062936111286314,1.0
triangle,-75.48,39.34,49.0,4.0,98.0,,12.25,2.0,
triangle,-75.74,37.92,35.0,4.0,241.0,,8.75,6.885714285714286,
triangle,-75.85,38.02,8.20038916342369,0.331722,22.364697718428246,,24.720667195494087,2.7272727272727275,
triangle,-66.46,45.06,14.909798478952164,0.165861,14.909798478952164,,89.89333525634214,1.0,
trapezoidal,-67.15,44.83,28.0,1.0,35.0,15.0,28.0,1.25,1.8666666666666667
