DateTime,Ocean,Bay,River (50km),River (75 km)
8/26/2012 0:00,-0.14,0.09,0.26,0.28
8/26/2012 0:05,-0.14,0.09,0.26,0.28
8/26/2012 0:10,-0.14,0.09,0.26,0.28
8/26/2012 0:15,-0.13,0.09,0.26,0.28
8/26/2012 0:20,-0.13,0.09,0.26,0.28
8/26/2012 0:25,-0.13,0.10,0.26,0.28
8/26/2012 0:30,-0.13,0.10,0.25,0.28
8/26/2012 0:35,-0.13,0.10,0.25,0.28
8/26/2012 0:40,-0.12,0.10,0.25,0.28
8/26/2012 0:45,-0.12,0.11,0.25,0.28
8/26/2012 0:50,-0.12,0.11,0.25,0.28
8/26/2012 0:55,-0.12,0.11,0.25,0.28
8/26/2012 1:00,-0.12,0.11,0.25,0.28
8/26/2012 1:05,-0.11,0.11,0.25,0.28
8/26/2012 1:10,-0.11,0.12,0.25,0.28
8/26/2012 1:15,-0.11,0.12,0.24,0.28
8/26/2012 1:20,-0.11,0.12,0.24,0.29
8/26/2012 1:25,-0.10,0.12,0.24,0.29
8/26/2012 1:30,-0.10,0.12,0.24,0.29
8/26/2012 1:35,-0.10,0.12,0.24,0.29
8/26/2012 1:40,-0.09,0.13,0.24,0.29
8/26/2012 1:45,-0.09,0.13,0.24,0.29
8/26/2012 1:50,-0.09,0.13,0.24,0.29
8/26/2012 1:55,-0.08,0.13,0.24,0.29
8/26/2012 2:00,-0.08,0.13,0.24,0.29
8/26/2012 2:05,-0.08,0.13,0.23,0.29
8/26/2012 2:10,-0.07,0.13,0.23,0.29
8/26/2012 2:15,-0.07,0.13,0.23,0.29
8/26/2012 2:20,-0.07,0.13,0.23,0.29
8/26/2012 2:25,-0.06,0.14,0.23,0.29
8/26/2012 2:30,-0.06,0.14,0.23,0.29
8/26/2012 2:35,-0.06,0.14,0.23,0.29
8/26/2012 2:40,-0.05,0.14,0.23,0.29
8/26/2012 2:45,-0.05,0.15,0.23,0.29
8/26/2012 2:50,-0.05,0.15,0.23,0.29
8/26/2012 2:55,-0.04,0.15,0.22,0.29
8/26/2012 3:00,-0.04,0.15,0.22,0.29
8/26/2012 3:05,-0.03,0.15,0.22,0.29
8/26/2012 3:10,-0.03,0.15,0.22,0.29
8/26/2012 3:15,-0.03,0.15,0.22,0.29
8/26/2012 3:20,-0.02,0.16,0.22,0.29
8/26/2012 3:25,-0.02,0.16,0.22,0.29
8/26/2012 3:30,-0.01,0.16,0.22,0.28
8/26/2012 3:35,-0.01,0.16,0.22,0.28
8/26/2012 3:40,-0.01,0.17,0.22,0.28
8/26/2012 3:45,0.00,0.17,0.22,0.28
8/26/2012 3:50,0.00,0.17,0.21,0.28
8/26/2012 3:55,0.01,0.17,0.21,0.28
8/26/2012 4:00,0.01,0.17,0.21,0.28
8/26/2012 4:05,0.02,0.17,0.21,0.28
8/26/2012 4:10,0.02,0.17,0.21,0.28
8/26/2012 4:15,0.03,0.18,0.21,0.28
8/26/2012 4:20,0.03,0.18,0.21,0.28
8/26/2012 4:25,0.03,0.18,0.21,0.28
8/26/2012 4:30,0.04,0.18,0.21,0.28
8/26/2012 4:35,0.04,0.18,0.21,0.28
8/26/2012 4:40,0.05,0.18,0.21,0.28
8/26/2012 4:45,0.05,0.19,0.20,0.28
8/26/2012 4:50,0.06,0.19,0.20,0.28
8/26/2012 4:55,0.06,0.19,0.20,0.28
8/26/2012 5:00,0.07,0.19,0.20,0.28
8/26/2012 5:05,0.07,0.19,0.20,0.28
8/26/2012 5:10,0.08,0.19,0.20,0.28
8/26/2012 5:15,0.08,0.19,0.20,0.28
8/26/2012 5:20,0.08,0.19,0.20,0.28
8/26/2012 5:25,0.09,0.19,0.20,0.28
8/26/2012 5:30,0.09,0.19,0.20,0.28
8/26/2012 5:35,0.10,0.20,0.20,0.28
8/26/2012 5:40,0.10,0.20,0.20,0.28
8/26/2012 5:45,0.11,0.20,0.20,0.28
8/26/2012 5:50,0.11,0.20,0.20,0.28
8/26/2012 5:55,0.12,0.20,0.20,0.28
8/26/2012 6:00,0.12,0.20,0.20,0.28
8/26/2012 6:05,0.13,0.20,0.19,0.28
8/26/2012 6:10,0.13,0.20,0.19,0.28
8/26/2012 6:15,0.14,0.20,0.19,0.28
8/26/2012 6:20,0.14,0.21,0.19,0.28
8/26/2012 6:25,0.14,0.21,0.19,0.28
8/26/2012 6:30,0.15,0.21,0.19,0.28
8/26/2012 6:35,0.15,0.21,0.19,0.28
8/26/2012 6:40,0.16,0.21,0.19,0.28
8/26/2012 6:45,0.16,0.21,0.19,0.28
8/26/2012 6:50,0.17,0.22,0.19,0.28
8/26/2012 6:55,0.17,0.22,0.19,0.28
8/26/2012 7:00,0.18,0.22,0.19,0.28
8/26/2012 7:05,0.18,0.22,0.19,0.28
8/26/2012 7:10,0.19,0.22,0.19,0.28
8/26/2012 7:15,0.19,0.22,0.19,0.28
8/26/2012 7:20,0.19,0.23,0.19,0.28
8/26/2012 7:25,0.20,0.23,0.19,0.28
8/26/2012 7:30,0.20,0.23,0.19,0.28
8/26/2012 7:35,0.21,0.23,0.19,0.28
8/26/2012 7:40,0.21,0.24,0.19,0.28
8/26/2012 7:45,0.21,0.24,0.20,0.28
8/26/2012 7:50,0.22,0.24,0.20,0.28
8/26/2012 7:55,0.22,0.24,0.20,0.28
8/26/2012 8:00,0.23,0.24,0.20,0.28
8/26/2012 8:05,0.23,0.24,0.20,0.28
8/26/2012 8:10,0.24,0.25,0.20,0.28
8/26/2012 8:15,0.24,0.25,0.20,0.28
8/26/2012 8:20,0.24,0.25,0.20,0.28
8/26/2012 8:25,0.25,0.25,0.20,0.28
8/26/2012 8:30,0.25,0.25,0.20,0.28
8/26/2012 8:35,0.25,0.26,0.20,0.28
8/26/2012 8:40,0.26,0.26,0.20,0.28
8/26/2012 8:45,0.26,0.26,0.21,0.28
8/26/2012 8:50,0.26,0.26,0.21,0.28
8/26/2012 8:55,0.27,0.26,0.21,0.28
8/26/2012 9:00,0.27,0.27,0.21,0.28
8/26/2012 9:05,0.27,0.27,0.21,0.28
8/26/2012 9:10,0.28,0.27,0.21,0.28
8/26/2012 9:15,0.28,0.27,0.21,0.28
8/26/2012 9:20,0.28,0.28,0.21,0.28
8/26/2012 9:25,0.28,0.28,0.21,0.28
8/26/2012 9:30,0.29,0.28,0.21,0.28
8/26/2012 9:35,0.29,0.28,0.21,0.28
8/26/2012 9:40,0.29,0.28,0.21,0.28
8/26/2012 9:45,0.29,0.29,0.21,0.28
8/26/2012 9:50,0.30,0.29,0.21,0.28
8/26/2012 9:55,0.30,0.29,0.22,0.28
