DateTime,n = 0.020,n = 0.025,n = 0.030
8/26/2012 0:00,0.21,0.26,0.32
8/26/2012 0:05,0.21,0.26,0.32
8/26/2012 0:10,0.20,0.26,0.32
8/26/2012 0:15,0.20,0.26,0.32
8/26/2012 0:20,0.20,0.26,0.32
8/26/2012 0:25,0.20,0.26,0.32
8/26/2012 0:30,0.20,0.26,0.32
8/26/2012 0:35,0.20,0.26,0.32
8/26/2012 0:40,0.20,0.26,0.32
8/26/2012 0:45,0.20,0.26,0.32
8/26/2012 0:50,0.21,0.26,0.32
8/26/2012 0:55,0.21,0.26,0.32
8/26/2012 1:00,0.21,0.26,0.32
8/26/2012 1:05,0.21,0.26,0.32
8/26/2012 1:10,0.21,0.26,0.32
8/26/2012 1:15,0.21,0.26,0.32
8/26/2012 1:20,0.21,0.26,0.32
8/26/2012 1:25,0.21,0.26,0.32
8/26/2012 1:30,0.21,0.26,0.32
8/26/2012 1:35,0.21,0.26,0.32
8/26/2012 1:40,0.21,0.26,0.32
8/26/2012 1:45,0.21,0.26,0.32
8/26/2012 1:50,0.22,0.27,0.32
8/26/2012 1:55,0.22,0.27,0.32
8/26/2012 2:00,0.22,0.27,0.32
8/26/2012 2:05,0.22,0.27,0.32
8/26/2012 2:10,0.22,0.27,0.32
8/26/2012 2:15,0.22,0.27,0.32
8/26/2012 2:20,0.22,0.27,0.32
8/26/2012 2:25,0.22,0.27,0.32
8/26/2012 2:30,0.22,0.27,0.32
8/26/2012 2:35,0.22,0.27,0.32
8/26/2012 2:40,0.22,0.27,0.32
8/26/2012 2:45,0.23,0.27,0.33
8/26/2012 2:50,0.23,0.27,0.33
8/26/2012 2:55,0.23,0.27,0.33
8/26/2012 3:00,0.23,0.28,0.33
8/26/2012 3:05,0.23,0.28,0.33
8/26/2012 3:10,0.23,0.28,0.33
8/26/2012 3:15,0.23,0.28,0.33
8/26/2012 3:20,0.23,0.28,0.33
8/26/2012 3:25,0.23,0.28,0.33
8/26/2012 3:30,0.23,0.28,0.33
8/26/2012 3:35,0.23,0.28,0.33
8/26/2012 3:40,0.23,0.28,0.33
8/26/2012 3:45,0.24,0.28,0.34
8/26/2012 3:50,0.24,0.28,0.34
8/26/2012 3:55,0.24,0.29,0.34
8/26/2012 4:00,0.24,0.29,0.34
8/26/2012 4:05,0.24,0.29,0.34
8/26/2012 4:10,0.24,0.29,0.34
8/26/2012 4:15,0.24,0.29,0.34
8/26/2012 4:20,0.24,0.29,0.34
8/26/2012 4:25,0.24,0.29,0.34
8/26/2012 4:30,0.24,0.29,0.34
8/26/2012 4:35,0.25,0.29,0.34
8/26/2012 4:40,0.25,0.29,0.35
8/26/2012 4:45,0.25,0.30,0.35
8/26/2012 4:50,0.25,0.30,0.35
8/26/2012 4:55,0.25,0.30,0.35
8/26/2012 5:00,0.25,0.30,0.35
8/26/2012 5:05,0.25,0.30,0.35
8/26/2012 5:10,0.25,0.30,0.35
8/26/2012 5:15,0.25,0.30,0.35
8/26/2012 5:20,0.26,0.30,0.35
8/26/2012 5:25,0.26,0.30,0.35
8/26/2012 5:30,0.26,0.30,0.35
8/26/2012 5:35,0.26,0.30,0.36
