DateTime,D0,Ref,R20,R30
8/26/2012 0:00,-0.115529,-0.284924,-0.303256,-0.26625
8/26/2012 0:05,-0.114695,-0.284691,-0.302992,-0.266112
8/26/2012 0:10,-0.114036,-0.284534,-0.302818,-0.266037
8/26/2012 0:15,-0.113686,-0.284492,-0.302819,-0.266041
8/26/2012 0:20,-0.11371,-0.284576,-0.303082,-0.266105
8/26/2012 0:25,-0.113834,-0.284705,-0.303468,-0.266167
8/26/2012 0:30,-0.113307,-0.284619,-0.303562,-0.266064
8/26/2012 0:35,-0.110639,-0.283813,-0.302492,-0.265506
8/26/2012 0:40,-0.104626,-0.281849,-0.299405,-0.264305
8/26/2012 0:45,-0.096076,-0.278952,-0.294575,-0.262629
8/26/2012 0:50,-0.0882727,-0.276127,-0.289762,-0.261053
8/26/2012 0:55,-0.0834694,-0.274219,-0.2866,-0.259967
8/26/2012 1:00,-0.0802552,-0.272978,-0.28468,-0.259193
8/26/2012 1:05,-0.077916,-0.272073,-0.28315,-0.258613
8/26/2012 1:10,-0.0766757,-0.271564,-0.282192,-0.258268
8/26/2012 1:15,-0.0763037,-0.271391,-0.281911,-0.258147
8/26/2012 1:20,-0.0764094,-0.271384,-0.282135,-0.25817
8/26/2012 1:25,-0.0763613,-0.271343,-0.282455,-0.258197
8/26/2012 1:30,-0.0752762,-0.270971,-0.282132,-0.257935
8/26/2012 1:35,-0.0710396,-0.269601,-0.280022,-0.257013
8/26/2012 1:40,-0.0629601,-0.266877,-0.275568,-0.255245
8/26/2012 1:45,-0.0539713,-0.263615,-0.270096,-0.253083
8/26/2012 1:50,-0.047663,-0.26113,-0.265999,-0.251497
8/26/2012 1:55,-0.0446432,-0.259868,-0.264252,-0.250691
8/26/2012 2:00,-0.0430552,-0.259279,-0.263612,-0.250209
8/26/2012 2:05,-0.0425005,-0.259057,-0.263202,-0.249914
8/26/2012 2:10,-0.0435489,-0.259353,-0.263539,-0.249885
8/26/2012 2:15,-0.0451907,-0.259902,-0.264671,-0.250053
8/26/2012 2:20,-0.0469152,-0.260436,-0.266085,-0.250205
8/26/2012 2:25,-0.048273,-0.260842,-0.267389,-0.250218
8/26/2012 2:30,-0.0479904,-0.260755,-0.267879,-0.249883
8/26/2012 2:35,-0.0443878,-0.259645,-0.26677,-0.248898
8/26/2012 2:40,-0.0374457,-0.257404,-0.263764,-0.247236
8/26/2012 2:45,-0.0303365,-0.254901,-0.260114,-0.245487
8/26/2012 2:50,-0.0260026,-0.253211,-0.257744,-0.244312
8/26/2012 2:55,-0.0242764,-0.252509,-0.257089,-0.243675
8/26/2012 3:00,-0.023149,-0.252184,-0.257124,-0.24318
8/26/2012 3:05,-0.0227355,-0.252068,-0.257398,-0.242843
8/26/2012 3:10,-0.0234865,-0.2523,-0.258318,-0.242765
8/26/2012 3:15,-0.0247878,-0.25272,-0.259661,-0.242834
8/26/2012 3:20,-0.0262245,-0.253148,-0.26088,-0.242842
8/26/2012 3:25,-0.0267367,-0.253327,-0.261849,-0.242642
8/26/2012 3:30,-0.0248997,-0.252811,-0.26193,-0.242024
8/26/2012 3:35,-0.0194135,-0.251205,-0.260073,-0.240735
8/26/2012 3:40,-0.0106248,-0.248535,-0.256307,-0.238917
8/26/2012 3:45,-0.00239897,-0.245814,-0.252081,-0.237218
8/26/2012 3:50,0.00246205,-0.244108,-0.249446,-0.236166
8/26/2012 3:55,0.00540728,-0.243258,-0.248452,-0.235541
8/26/2012 4:00,0.00804556,-0.242621,-0.247801,-0.234985
8/26/2012 4:05,0.00959107,-0.242283,-0.247577,-0.234654
8/26/2012 4:10,0.00969674,-0.242431,-0.247739,-0.234616
8/26/2012 4:15,0.00927401,-0.242794,-0.248275,-0.234628
8/26/2012 4:20,0.00959104,-0.24293,-0.248833,-0.234499
8/26/2012 4:25,0.0109003,-0.242681,-0.249058,-0.234167
