Shape,Lon,Lat,Wb,Wr,Lb,Wt
triangle,-76.21,35.34,48,8,130,NaN
triangle,-76.21,38.54,17.53,10.28,288,NaN
triangle,-76.23,36.16,15,4.62,80,11.37
triangle,-76.28,36.91,3.69,2.04,92,NaN
trapezoid,-77.01,34.69,4,0.81,40,4
triangle,-78.01,33.9,6.74,0.67,33,NaN
triangle,-79.07,33.5,0.41,0.1,8,NaN
triangle,-79.28,33.12,0.7,0.22,14,NaN
trapezoid,-81.51,31.07,2.9,1.38,5,2.9
trapezoid,-81.42,31.13,1.87,1.21,7.5,1.87
trapezoid,-81.16,31.84,5.32,1.4,8,4
trapezoid,-79.23,33.27,1.5,2,20,6.5
triangle,-79.89,32.77,2.5,1.5,7,4
