Shape,Lon,Lat,Wb,Wr,Lb,Wt,Rbr,Rlb,Rbt
trapezoid,-87,30,2.5,0.9,15.3,0.3,2.77777777777778,6.12,8.33333333333333
trapezoid,-81.16,31.84,5.32,1.4,8,4,3.8,1.50375939849624,1.33
trapezoid,-77.01,34.69,4,0.81,40,4,4.93827160493827,10,1
trapezoid,-87.1,30.5,6.7,2.8,16.6,0.2,2.39285714285714,2.47761194029851,33.5
trapezoid,-79.23,33.27,1.5,2,20,6.5,0.75,13.3333333333333,0.230769230769231
trapezoid,-67.15,44.83,28,1,35,15,28,1.25,1.86666666666667
trapezoid,-97.3,27.7,15.8,1.7,33,0.2,9.29411764705882,2.08860759493671,79
trapezoid,-97.1,28.1,8,8,18,0.2,1,2.25,40
trapezoid,-97.7,28.3,12,7,13.6,0.2,1.71428571428571,1.13333333333333,60
trapezoid,-96.6,28.6,3.4,3.4,21,0.3,1,6.17647058823529,11.3333333333333
trapezoid,-81.42,31.13,1.87,1.21,7.5,1.87,1.54545454545455,4.01069518716578,1
trapezoid,-75.09,38.62,13.26888,0.995166,13.3523891708325,13.26888,13.3333333333333,1.00629361112863,1
trapezoid,-94.9,24.5,15.3,1.2,28,0.3,12.75,1.83006535947712,51
trapezoid,-71.01,42.31,9.95166,0.995166,14.9097984789522,6.63444,10,1.49822225427237,1.5
trapezoid,-93.8,23.8,9,9,25.5,0.3,1,2.83333333333333,30
trapezoid,-93.3,29.9,10,3.2,23.3,0.3,3.125,2.33,33.3333333333333
trapezoid,-70.66,41.6,8.9458790873713,0.372744961973804,7.45489923947608,8.20038916342369,24,0.833333333333333,1.09090909090909
trapezoid,-88,30.4,33,10,46,0.6,3.3,1.39393939393939,55
trapezoid,-67.8,44.52,8.9458790873713,0.372744961973804,7.45489923947608,8.20038916342369,24,0.833333333333333,1.09090909090909
trapezoid,-87.4,30.4,1.9,1.9,18.7,0.8,1,9.8421052631579,2.375
trapezoid,-67.27,44.63,14.9097984789522,0.745489923947608,9.95166,11.1823488592141,20,0.667457713398913,1.33333333333333
trapezoid,-66.74,45.07,7.45489923947608,0.745489923947608,11.1823488592141,7.45489923947608,10,1.5,1
trapezoid,-96.1,26.7,8.2,1,15.6,0.3,8.2,1.90243902439024,27.3333333333333
trapezoid,-81.51,31.07,2.9,1.38,5,2.9,2.10144927536232,1.72413793103448,1
triangle,-96.4,28.7,2,0.7,13,,2.85714285714286,6.5,
triangle,-97.4,27.2,6.8,0.6,43.5,,11.3333333333333,6.39705882352941,
triangle,-79.89,32.77,2.5,1.5,7,4,1.66666666666667,2.8,0.625
triangle,-66.46,45.06,14.9097984789522,1.49097984789522,11.1823488592141,,10,0.75,
triangle,-79.07,33.5,0.41,0.1,8,,4.1,19.5121951219512,
triangle,-67.8,44.52,5.96391939158087,0.372744961973804,13.26888,,16,2.22485904466304,
triangle,-70.64,41.99,13.26888,0.745489923947608,11.1823488592141,,17.7988723573043,0.842750018028208,
triangle,-73.9,40.5,17,2,24,,8.5,1.41176470588235,
triangle,-72,41,28,3,158,,9.33333333333333,5.64285714285714,
triangle,-71.38,41.73,11.1823488592141,0.745489923947608,13.26888,,15,1.18659149048696,
triangle,-72.81,41.26,5.96391939158087,0.745489923947608,7.45489923947608,,8,1.25,
triangle,-74.27,40.49,9.95166,0.995166,13.3523891708325,,10,1.34172481483817,
triangle,-75.48,39.34,49,4,98,,12.25,2,
triangle,-75.74,37.92,35,4,241,,8.75,6.88571428571429,
triangle,-75.85,38.02,8.20038916342369,0.331722,22.3646977184282,,24.7206671954941,2.72727272727273,
triangle,-66.46,45.06,14.9097984789522,0.165861,14.9097984789522,,89.8933352563421,1,
triangle,-76.21,35.34,48,8,130,,6,2.70833333333333,
triangle,-76.21,38.54,17.53,10.28,288,,1.70525291828794,16.4289788933257,
triangle,-76.23,36.16,15,4.62,80,11.37,3.24675324675325,5.33333333333333,1.31926121372032
triangle,-78.01,33.9,6.74,0.67,33,,10.0597014925373,4.89614243323442,
triangle,-79.28,33.12,0.7,0.22,14,,3.18181818181818,20,
triangle,-76.28,36.91,3.69,2.04,92,,1.80882352941176,24.9322493224932,
